title,id,category,level,solved
Dave Mirra BMX Challenge,10166889,Crave Entertainment games,2,False
Whirl Tour,7776248,Crave Entertainment games,2,False
Tokyo Xtreme Racer 2,2745891,Crave Entertainment games,2,False
1787 in Scotland,48999375,1780s in Scotland,3,False
Chinguil,57598619,Populated places in Chad,1,False
1781 in Scotland,48999356,1780s in Scotland,3,False
Guégou,57599072,Populated places in Chad,1,False
Liliane Marchais,63727763,People from Malakoff,4,False
Luc Choley,64309455,People from Malakoff,4,False
Koukou-Angarana,57599271,Populated places in Chad,1,False
Roger Legris,35172447,People from Malakoff,4,False
1782 in Scotland,48999358,1780s in Scotland,3,False
1786 in Scotland,48999371,1780s in Scotland,3,False
Eternal Ring,4403331,Crave Entertainment games,2,False
Eugène Christophe,5988730,People from Malakoff,4,False
Kangalam,57598751,Populated places in Chad,1,False
