title,id,category,level,solved
Moses of Worms,71851402,"Rabbis from Worms, Germany",3,False
Malonic anhydride,22147247,Carboxylic anhydrides,1,False
Li Chunting,71208080,Members of the Standing Committee of the 10th National People's Congress,2,False
Xu Yongqing,71292039,Members of the Standing Committee of the 10th National People's Congress,2,False
1927 International Cross Country Championships,40655885,Athletics races in Newport,4,False
1911 International Cross Country Championships,40639929,Athletics races in Newport,4,False
Methacrylic anhydride,36410685,Carboxylic anhydrides,1,False
1906 International Cross Country Championships,40630296,Athletics races in Newport,4,False
Jiang Enzhu,41851023,Members of the Standing Committee of the 10th National People's Congress,2,False
Acetic formic anhydride,30271132,Carboxylic anhydrides,1,False
1921 International Cross Country Championships,40648078,Athletics races in Newport,4,False
Doje Cering,70104005,Members of the Standing Committee of the 10th National People's Congress,2,False
Nadic anhydride,72797661,Carboxylic anhydrides,1,False
Isaac ben Eliezer Halevi,64303660,"Rabbis from Worms, Germany",3,False
Isaac ben Eliezer,73780070,"Rabbis from Worms, Germany",3,False
David Oppenheim (rabbi),36760529,"Rabbis from Worms, Germany",3,False
