title,id,category,level,solved
Mangaon,9590730,Cities and towns in Raigad district,1,False
Viviane Reding,969052,Luxemburger Wort people,4,False
Megumi Asaoka,24950479,Musicians from Ōita Prefecture,2,False
Mama's Broken Heart,38169912,Songs written by Brandy Clark,3,False
Marcel Fischbach,8738929,Luxemburger Wort people,4,False
Chaul,2069815,Cities and towns in Raigad district,1,False
Pierre Grégoire,11264497,Luxemburger Wort people,4,False
Rino Sashihara,22856228,Musicians from Ōita Prefecture,2,False
Masaya Oki,34589713,Musicians from Ōita Prefecture,2,False
Unlove You (Jennifer Nettles song),50707000,Songs written by Brandy Clark,3,False
Uran,833574,Cities and towns in Raigad district,1,False
Follow Your Arrow,40642073,Songs written by Brandy Clark,3,False
Jean Bernard (priest),3508567,Luxemburger Wort people,4,False
Dear Miss Loretta,72228246,Songs written by Brandy Clark,3,False
Rika Himenogi,8197647,Musicians from Ōita Prefecture,2,False
Poladpur,5806635,Cities and towns in Raigad district,1,False
