title,id,category,level,solved
2nd Bodil Awards,45356882,1948 film awards,4,False
Catalogue / Preserve / Amass,35005554,Steven Wilson albums,2,False
Capilla de Santa Ana (Llanes),27449627,15th-century Roman Catholic church buildings in Spain,1,False
"Santiago Apostol, Orihuela",47521950,15th-century Roman Catholic church buildings in Spain,1,False
National Board of Review Awards 1948,9635017,1948 film awards,4,False
4½,49167819,Steven Wilson albums,2,False
Sherie Merlis,43281644,20th-century Malaysian actresses,3,False
Church of la Virgen de la Asunción (Romancos),35725459,15th-century Roman Catholic church buildings in Spain,1,False
Sarimah,8427953,20th-century Malaysian actresses,3,False
6th Golden Globe Awards,7937373,1948 film awards,4,False
The Future Bites,63354333,Steven Wilson albums,2,False
Drive Home,40864190,Steven Wilson albums,2,False
Abby Abadi,12481169,20th-century Malaysian actresses,3,False
21st Academy Awards,6267577,1948 film awards,4,False
Michelle Yeoh,147873,20th-century Malaysian actresses,3,False
Nuestra Señora de la Soterraña,31605308,15th-century Roman Catholic church buildings in Spain,1,False
