title,id,category,level,solved
Strange Boutique (album),14135426,The Monochrome Set albums,4,False
Crying for the Carolines,57512513,1930 musical films,1,False
Eligible Bachelors,15443470,The Monochrome Set albums,4,False
Viejo smoking,9505276,1930 musical films,1,False
Love Zombies,14109756,The Monochrome Set albums,4,False
Cyclone Per,8921693,2007 natural disasters,2,False
Nevado del Huila,9006233,2007 natural disasters,2,False
Dolly Gets Ahead,48947187,1930 musical films,1,False
Raise the Roof (film),51366585,1930 musical films,1,False
Spaces Everywhere,47080350,The Monochrome Set albums,4,False
2007 New South Wales storms,11695242,2007 natural disasters,2,False
Kelud,1447184,2007 natural disasters,2,False
Fazlallah Khunji Isfahani,53594562,Scholars of the Aq Qoyunlu,3,False
Qadi Husayn Maybudi,8705980,Scholars of the Aq Qoyunlu,3,False
Idris Bitlisi,25424363,Scholars of the Aq Qoyunlu,3,False
Jalal al-Din Davani,24550441,Scholars of the Aq Qoyunlu,3,False
