title,id,category,level,solved
Wilbur Cross Medal,36583932,Awards honoring alumni,3,False
Mount Morris Bank Building,31306933,Queen Anne architecture in New York City,2,False
Wallabout Historic District,48944474,Queen Anne architecture in New York City,2,False
Arif Sağ,14046561,20th- century Turkish male singers,4,False
Albert Rachkov,72716456,People from Stavropol,1,False
Tanju Okan,38051648,20th- century Turkish male singers,4,False
New Market Cross of Honor,54386126,Awards honoring alumni,3,False
Azer Bülbül,47128126,20th- century Turkish male singers,4,False
Grigory Blagosvetlov,50334036,People from Stavropol,1,False
Muhlis Akarsu,70944710,20th- century Turkish male singers,4,False
Maurice Prize,55000947,Awards honoring alumni,3,False
Yuri Koptev,17871909,People from Stavropol,1,False
Nikolai Paltsev,69410526,People from Stavropol,1,False
Yorke Prize,22330359,Awards honoring alumni,3,False
Mount Morris Park Historic District,7822038,Queen Anne architecture in New York City,2,False
Edgehill Church of Spuyten Duyvil,17384331,Queen Anne architecture in New York City,2,False
