title,id,category,level,solved
Jelena Škerović,44137566,Serbia and Montenegro expatriate sportspeople in Poland,2,False
Pantelis Chatzidiakos,48720346,Greek emigrants to the Netherlands,4,False
Luka Pavićević,42276347,Serbia and Montenegro expatriate sportspeople in Poland,2,False
Thomas Leer,3615642,Scottish rock singers,1,False
Sharada Peeth,11029423,Forts in Azad Kashmir,3,False
Dan McCafferty,4773199,Scottish rock singers,1,False
James Allan (musician),40605543,Scottish rock singers,1,False
"Red Fort, Muzaffarabad",15185082,Forts in Azad Kashmir,3,False
Adamantios Korais,407075,Greek emigrants to the Netherlands,4,False
Yiorgo Moutsiaras,19487532,Greek emigrants to the Netherlands,4,False
James Dewar (musician),1593203,Scottish rock singers,1,False
Odysseus Velanas,53473009,Greek emigrants to the Netherlands,4,False
Baghsar Fort,33440303,Forts in Azad Kashmir,3,False
Predrag Vujović,24321334,Serbia and Montenegro expatriate sportspeople in Poland,2,False
Ramkot Fort,12395633,Forts in Azad Kashmir,3,False
Zoran Mijanović,17789707,Serbia and Montenegro expatriate sportspeople in Poland,2,False
