title,id,category,level,solved
Sean Saves the World,39360684,Television series by Hazy Mills Productions,4,False
Hot in Cleveland,26584988,Television series by Hazy Mills Productions,4,False
J. O. Patterson Jr.,35064752,Members of the Tennessee House of Representatives,1,False
Crowded (TV series),46652881,Television series by Hazy Mills Productions,4,False
Irving Berlin,48351,Male musical theatre composers,2,False
Omran Al-Kaysi,30170027,Iraqi artists,3,False
Grimm (TV series),31762193,Television series by Hazy Mills Productions,4,False
Joop Stokkermans,37608186,Male musical theatre composers,2,False
James Mullins (American politician),5305773,Members of the Tennessee House of Representatives,1,False
Harry J. Tindell,5042583,Members of the Tennessee House of Representatives,1,False
Benjamin J. Lea,47652798,Members of the Tennessee House of Representatives,1,False
Rena Kirdar,23714969,Iraqi artists,3,False
Jabra Ibrahim Jabra,4712445,Iraqi artists,3,False
Nicola Piovani,6482450,Male musical theatre composers,2,False
Alexander Kolker,69195483,Male musical theatre composers,2,False
Suzanne Alaywan,30240956,Iraqi artists,3,False
