title,id,category,level,solved
Colorado State Highway 78,30578548,"Transportation in Pueblo County, Colorado",2,False
Johan Lunde,56193762,People from Lillehammer,1,False
Accrington Library,50274439,Public libraries in Lancashire,4,False
4 Angies,69334857,2011 Thai television series endings,3,False
Game Rai Game Rak,35590840,2011 Thai television series endings,3,False
Torkil Damhaug,53461636,People from Lillehammer,1,False
St Annes-on-the-Sea Carnegie Library,26161848,Public libraries in Lancashire,4,False
Transportation Technology Center,24755199,"Transportation in Pueblo County, Colorado",2,False
Darwen Library,17249386,Public libraries in Lancashire,4,False
Lytham Library,47688837,Public libraries in Lancashire,4,False
Harald Torp,13939150,People from Lillehammer,1,False
Colorado State Highway 231,30597085,"Transportation in Pueblo County, Colorado",2,False
Interstate 25 in Colorado,13697410,"Transportation in Pueblo County, Colorado",2,False
Ghastly Dorm,70515195,2011 Thai television series endings,3,False
Knut Korsæth,21594691,People from Lillehammer,1,False
Tawan Dueat,39799111,2011 Thai television series endings,3,False
