title,id,category,level,solved
Frank L. Smith Bank(1),13499587,Bank buildings in Illinois,4,False
Lotte Haidegger(2),56277917,Austrian female discus throwers,2,False
David Murphy (composer)(3),36055007,16th-century Irish musicians,3,False
Suburban Trust and Savings Bank Building(1),69711812,Bank buildings in Illinois,4,False
BP Super Show(4),54146473,Australian variety television shows,1,False
Saturday Party(4),39661396,Australian variety television shows,1,False
Ursula Weber(2),56311039,Austrian female discus throwers,2,False
Berwyn State Bank Building(1),62164629,Bank buildings in Illinois,4,False
Marianne Schläger(2),56228953,Austrian female discus throwers,2,False
Dorli Hofrichter(2),56287081,Austrian female discus throwers,2,False
Studio A (1963 TV series)(4),43866266,Australian variety television shows,1,False
Accenture Tower (Chicago)(1),2439264,Bank buildings in Illinois,4,False
Eoghain Ó Cianáin(3),36044136,16th-century Irish musicians,3,False
Rooftop Rendezvous(4),42684505,Australian variety television shows,1,False
Naisse mac Cithruadh(3),31429708,16th-century Irish musicians,3,False
Diarmuid Ó Dubhagáin(3),36054730,16th-century Irish musicians,3,False
