title,id,category,level,solved
Bimbilla Senior High School,61848701,Schools in Northern Region (Ghana),3,False
William Bartholomay,4963519,Milwaukee Braves owners,4,False
Ukrainian Free University,6593542,Relocated schools,1,False
Raju Maharaju,52111535,Films scored by K. M. Radha Krishnan,2,False
Lakshmi Raave Maa Intiki,63065523,Films scored by K. M. Radha Krishnan,2,False
Manasu Palike Mouna Raagam,25849360,Films scored by K. M. Radha Krishnan,2,False
Bud Selig,4582,Milwaukee Braves owners,4,False
Lou Perini,20550875,Milwaukee Braves owners,4,False
Gambaga Girls Senior High School,52583203,Schools in Northern Region (Ghana),3,False
Haberdashers' Girls' School,1424588,Relocated schools,1,False
Yendi Senior High School,54697535,Schools in Northern Region (Ghana),3,False
Father Henry Carr Catholic Secondary School,17459585,Relocated schools,1,False
Bhale Dongalu (2008 film),16506768,Films scored by K. M. Radha Krishnan,2,False
Lycée Français International Charles de Gaulle de Pékin,41753450,Relocated schools,1,False
Tamale Girls' Senior High School,52480497,Schools in Northern Region (Ghana),3,False
Tubby Bacon,38257281,Milwaukee Braves owners,4,False
