title,id,category,level,solved
FK Sirijus Klaipėda,23012241,Football clubs in Klaipėda,4,False
Tony Peake,26626617,South African biographers,3,False
Lyndall Gordon,3055562,South African biographers,3,False
FK Klaipėdos Granitas,42267926,Football clubs in Klaipėda,4,False
Sarah Millin,2386085,South African biographers,3,False
FK Neptūnas,69594661,Football clubs in Klaipėda,4,False
Frank Jones (baseball),26736903,Duluth Jayhawks players,2,False
Henry Jones (pitcher),29447119,Duluth Jayhawks players,2,False
Madeleine Masson,23913894,South African biographers,3,False
FK Atlantas,2228142,Football clubs in Klaipėda,4,False
Battle of Kopidnadon,35034218,History of Adana Province,1,False
Cabassus,61369942,History of Adana Province,1,False
Antiochia ad Pyramum,4109367,History of Adana Province,1,False
George McMillan (baseball),29433878,Duluth Jayhawks players,2,False
Bill Traffley,14350024,Duluth Jayhawks players,2,False
Turkish Airlines Flight 5904,7958430,History of Adana Province,1,False
